N,PROB,FREQ,MEDIA_DIAS,ULTIMA_VEZ,F1,F2,F3,F4,F5,F6,P1,P2,P3,P4,P5,P6
19,27,0.074,9.5,6,3,10,9,4,1,0,0.00821917808219178,0.0273972602739726,0.024657534246575342,0.010958904109589041,0.0027397260273972603,0.0
4,32,0.0877,7.0,2,22,10,0,0,0,0,0.06027397260273973,0.0273972602739726,0.0,0.0,0.0,0.0
29,32,0.0877,8.0,6,0,2,7,11,11,1,0.0,0.005479452054794521,0.019178082191780823,0.030136986301369864,0.030136986301369864,0.0027397260273972603
11,36,0.0986,8.0,4,17,8,10,1,0,0,0.04657534246575343,0.021917808219178082,0.0273972602739726,0.0027397260273972603,0.0,0.0
8,37,0.1014,7.5,2,17,12,7,0,1,0,0.04657534246575343,0.03287671232876712,0.019178082191780823,0.0,0.0027397260273972603,0.0
18,37,0.1014,6.5,1,6,13,11,6,1,0,0.01643835616438356,0.03561643835616438,0.030136986301369864,0.01643835616438356,0.0027397260273972603,0.0
3,38,0.1041,6.0,18,31,7,0,0,0,0,0.08493150684931507,0.019178082191780823,0.0,0.0,0.0,0.0
22,39,0.1068,6.0,20,3,11,11,11,3,0,0.00821917808219178,0.030136986301369864,0.030136986301369864,0.030136986301369864,0.00821917808219178,0.0
42,40,0.1096,6.0,8,0,0,0,5,23,12,0.0,0.0,0.0,0.0136986301369863,0.06301369863013699,0.03287671232876712
1,41,0.1123,6.5,22,41,0,0,0,0,0,0.11232876712328767,0.0,0.0,0.0,0.0,0.0
48,41,0.1123,6.0,7,0,0,0,0,3,38,0.0,0.0,0.0,0.0,0.00821917808219178,0.10410958904109589
25,41,0.1123,6.0,34,1,9,12,10,8,1,0.0027397260273972603,0.024657534246575342,0.03287671232876712,0.0273972602739726,0.021917808219178082,0.0027397260273972603
49,42,0.1151,7.0,4,0,0,0,0,0,42,0.0,0.0,0.0,0.0,0.0,0.11506849315068493
20,42,0.1151,7.0,5,5,14,15,8,0,0,0.0136986301369863,0.038356164383561646,0.0410958904109589,0.021917808219178082,0.0,0.0
36,42,0.1151,6.0,6,0,0,5,18,14,5,0.0,0.0,0.0136986301369863,0.049315068493150684,0.038356164383561646,0.0136986301369863
14,42,0.1151,5.0,13,7,17,12,5,1,0,0.019178082191780823,0.04657534246575343,0.03287671232876712,0.0136986301369863,0.0027397260273972603,0.0
34,43,0.1178,6.5,1,0,2,8,17,14,2,0.0,0.005479452054794521,0.021917808219178082,0.04657534246575343,0.038356164383561646,0.005479452054794521
38,43,0.1178,6.0,1,0,1,3,12,14,13,0.0,0.0027397260273972603,0.00821917808219178,0.03287671232876712,0.038356164383561646,0.03561643835616438
10,44,0.1205,5.0,29,13,24,6,1,0,0,0.03561643835616438,0.06575342465753424,0.01643835616438356,0.0027397260273972603,0.0,0.0
6,44,0.1205,5.0,4,26,11,7,0,0,0,0.07123287671232877,0.030136986301369864,0.019178082191780823,0.0,0.0,0.0
28,44,0.1205,6.0,12,0,7,13,13,9,2,0.0,0.019178082191780823,0.03561643835616438,0.03561643835616438,0.024657534246575342,0.005479452054794521
32,45,0.1233,5.0,4,1,2,10,18,9,5,0.0027397260273972603,0.005479452054794521,0.0273972602739726,0.049315068493150684,0.024657534246575342,0.0136986301369863
7,45,0.1233,6.5,11,18,20,5,2,0,0,0.049315068493150684,0.0547945205479452,0.0136986301369863,0.005479452054794521,0.0,0.0
5,45,0.1233,5.5,2,31,14,0,0,0,0,0.08493150684931507,0.038356164383561646,0.0,0.0,0.0,0.0
35,45,0.1233,5.5,5,0,2,7,14,14,8,0.0,0.005479452054794521,0.019178082191780823,0.038356164383561646,0.038356164383561646,0.021917808219178082
27,45,0.1233,6.0,34,0,4,17,14,8,2,0.0,0.010958904109589041,0.04657534246575343,0.038356164383561646,0.021917808219178082,0.005479452054794521
16,46,0.126,5.0,1,9,14,15,7,1,0,0.024657534246575342,0.038356164383561646,0.0410958904109589,0.019178082191780823,0.0027397260273972603,0.0
2,46,0.126,6.0,31,41,5,0,0,0,0,0.11232876712328767,0.0136986301369863,0.0,0.0,0.0,0.0
23,46,0.126,5.0,13,0,13,17,13,2,1,0.0,0.03561643835616438,0.04657534246575343,0.03561643835616438,0.005479452054794521,0.0027397260273972603
44,46,0.126,5.0,5,0,0,0,5,19,22,0.0,0.0,0.0,0.0136986301369863,0.052054794520547946,0.06027397260273973
45,46,0.126,5.0,2,0,0,0,1,9,36,0.0,0.0,0.0,0.0027397260273972603,0.024657534246575342,0.09863013698630137
17,46,0.126,7.0,9,8,14,13,8,2,1,0.021917808219178082,0.038356164383561646,0.03561643835616438,0.021917808219178082,0.005479452054794521,0.0027397260273972603
47,46,0.126,5.0,3,0,0,0,0,11,35,0.0,0.0,0.0,0.0,0.030136986301369864,0.0958904109589041
24,46,0.126,7.0,5,2,9,15,10,9,1,0.005479452054794521,0.024657534246575342,0.0410958904109589,0.0273972602739726,0.024657534246575342,0.0027397260273972603
12,47,0.1288,6.0,20,22,11,10,4,0,0,0.06027397260273973,0.030136986301369864,0.0273972602739726,0.010958904109589041,0.0,0.0
33,47,0.1288,6.0,21,0,1,10,12,18,6,0.0,0.0027397260273972603,0.0273972602739726,0.03287671232876712,0.049315068493150684,0.01643835616438356
13,48,0.1315,6.0,6,11,19,17,1,0,0,0.030136986301369864,0.052054794520547946,0.04657534246575343,0.0027397260273972603,0.0,0.0
26,48,0.1315,4.0,6,2,9,13,18,4,2,0.005479452054794521,0.024657534246575342,0.03561643835616438,0.049315068493150684,0.010958904109589041,0.005479452054794521
37,48,0.1315,5.0,1,0,0,8,12,19,9,0.0,0.0,0.021917808219178082,0.03287671232876712,0.052054794520547946,0.024657534246575342
30,49,0.1342,6.0,1,1,3,16,9,15,5,0.0027397260273972603,0.00821917808219178,0.043835616438356165,0.024657534246575342,0.0410958904109589,0.0136986301369863
15,49,0.1342,6.0,3,5,24,13,7,0,0,0.0136986301369863,0.06575342465753424,0.03561643835616438,0.019178082191780823,0.0,0.0
43,52,0.1425,5.0,3,0,0,1,8,19,24,0.0,0.0,0.0027397260273972603,0.021917808219178082,0.052054794520547946,0.06575342465753424
9,52,0.1425,4.0,7,18,25,7,2,0,0,0.049315068493150684,0.0684931506849315,0.019178082191780823,0.005479452054794521,0.0,0.0
31,53,0.1452,6.0,10,1,4,14,20,14,0,0.0027397260273972603,0.010958904109589041,0.038356164383561646,0.0547945205479452,0.038356164383561646,0.0
41,54,0.1479,5.0,11,0,0,1,8,23,22,0.0,0.0,0.0027397260273972603,0.021917808219178082,0.06301369863013699,0.06027397260273973
39,55,0.1507,5.0,7,0,0,2,20,20,13,0.0,0.0,0.005479452054794521,0.0547945205479452,0.0547945205479452,0.03561643835616438
40,56,0.1534,6.0,3,0,0,3,14,19,20,0.0,0.0,0.00821917808219178,0.038356164383561646,0.052054794520547946,0.0547945205479452
21,56,0.1534,3.0,13,3,14,15,15,9,0,0.00821917808219178,0.038356164383561646,0.0410958904109589,0.0410958904109589,0.024657534246575342,0.0
46,56,0.1534,6.0,2,0,0,0,1,18,37,0.0,0.0,0.0,0.0027397260273972603,0.049315068493150684,0.10136986301369863
